customer_id,_archetype,churned_flag
CUST0001,healthy_loyal,0
CUST0002,new_fragile,1
CUST0003,loud_but_stable,0
CUST0004,new_fragile,0
CUST0005,loud_but_stable,0
CUST0006,loud_but_stable,0
CUST0007,healthy_loyal,0
CUST0008,healthy_loyal,0
CUST0009,healthy_loyal,0
CUST0010,healthy_loyal,0
CUST0011,billing_wounded,0
CUST0012,escalating_churner,1
CUST0013,loud_but_stable,0
CUST0014,quiet_drifter,1
CUST0015,billing_wounded,1
CUST0016,escalating_churner,1
CUST0017,healthy_loyal,1
CUST0018,billing_wounded,1
CUST0019,healthy_loyal,0
CUST0020,healthy_loyal,0
CUST0021,billing_wounded,1
CUST0022,healthy_loyal,0
CUST0023,healthy_loyal,0
CUST0024,loud_but_stable,0
CUST0025,new_fragile,0
CUST0026,escalating_churner,1
CUST0027,healthy_loyal,0
CUST0028,loud_but_stable,0
CUST0029,healthy_loyal,0
CUST0030,new_fragile,1
CUST0031,healthy_loyal,0
CUST0032,loud_but_stable,0
CUST0033,healthy_loyal,0
CUST0034,healthy_loyal,0
CUST0035,billing_wounded,1
CUST0036,healthy_loyal,0
CUST0037,healthy_loyal,0
CUST0038,new_fragile,0
CUST0039,healthy_loyal,0
CUST0040,escalating_churner,1
CUST0041,escalating_churner,1
CUST0042,healthy_loyal,0
CUST0043,healthy_loyal,0
CUST0044,billing_wounded,1
CUST0045,escalating_churner,1
CUST0046,healthy_loyal,0
CUST0047,loud_but_stable,0
CUST0048,loud_but_stable,0
CUST0049,quiet_drifter,0
CUST0050,loud_but_stable,0
CUST0051,loud_but_stable,0
CUST0052,quiet_drifter,1
CUST0053,loud_but_stable,0
CUST0054,billing_wounded,1
CUST0055,healthy_loyal,0
CUST0056,healthy_loyal,0
CUST0057,escalating_churner,1
CUST0058,new_fragile,1
CUST0059,healthy_loyal,0
CUST0060,quiet_drifter,1
CUST0061,loud_but_stable,0
CUST0062,healthy_loyal,0
CUST0063,billing_wounded,1
CUST0064,escalating_churner,1
CUST0065,billing_wounded,0
CUST0066,quiet_drifter,0
CUST0067,loud_but_stable,0
CUST0068,healthy_loyal,0
CUST0069,healthy_loyal,0
CUST0070,escalating_churner,1
CUST0071,billing_wounded,1
CUST0072,escalating_churner,1
CUST0073,healthy_loyal,0
CUST0074,quiet_drifter,1
CUST0075,escalating_churner,1
CUST0076,healthy_loyal,0
CUST0077,loud_but_stable,0
CUST0078,quiet_drifter,1
CUST0079,healthy_loyal,0
CUST0080,new_fragile,0
CUST0081,quiet_drifter,1
CUST0082,loud_but_stable,0
CUST0083,loud_but_stable,0
CUST0084,billing_wounded,0
CUST0085,billing_wounded,1
CUST0086,healthy_loyal,0
CUST0087,healthy_loyal,0
CUST0088,billing_wounded,0
CUST0089,loud_but_stable,0
CUST0090,escalating_churner,1
CUST0091,healthy_loyal,0
CUST0092,quiet_drifter,1
CUST0093,billing_wounded,0
CUST0094,loud_but_stable,1
CUST0095,billing_wounded,0
CUST0096,quiet_drifter,1
CUST0097,healthy_loyal,0
CUST0098,new_fragile,0
CUST0099,loud_but_stable,0
CUST0100,healthy_loyal,0
CUST0101,escalating_churner,1
CUST0102,healthy_loyal,0
CUST0103,healthy_loyal,0
CUST0104,escalating_churner,1
CUST0105,quiet_drifter,1
CUST0106,quiet_drifter,1
CUST0107,billing_wounded,1
CUST0108,loud_but_stable,0
CUST0109,new_fragile,1
CUST0110,billing_wounded,0
CUST0111,escalating_churner,1
CUST0112,loud_but_stable,0
CUST0113,healthy_loyal,0
CUST0114,healthy_loyal,0
CUST0115,escalating_churner,1
CUST0116,billing_wounded,1
CUST0117,billing_wounded,0
CUST0118,billing_wounded,1
CUST0119,loud_but_stable,0
CUST0120,healthy_loyal,0
CUST0121,quiet_drifter,1
CUST0122,quiet_drifter,1
CUST0123,healthy_loyal,0
CUST0124,quiet_drifter,1
CUST0125,escalating_churner,1
CUST0126,loud_but_stable,0
CUST0127,quiet_drifter,1
CUST0128,healthy_loyal,0
CUST0129,healthy_loyal,0
CUST0130,quiet_drifter,0
CUST0131,quiet_drifter,0
CUST0132,healthy_loyal,0
CUST0133,quiet_drifter,0
CUST0134,loud_but_stable,0
CUST0135,new_fragile,0
CUST0136,billing_wounded,0
CUST0137,healthy_loyal,0
CUST0138,escalating_churner,1
CUST0139,billing_wounded,0
CUST0140,quiet_drifter,0
CUST0141,healthy_loyal,0
CUST0142,billing_wounded,0
CUST0143,healthy_loyal,0
CUST0144,healthy_loyal,0
CUST0145,quiet_drifter,1
CUST0146,quiet_drifter,1
CUST0147,billing_wounded,1
CUST0148,healthy_loyal,0
CUST0149,quiet_drifter,0
CUST0150,healthy_loyal,0
CUST0151,billing_wounded,0
CUST0152,loud_but_stable,0
CUST0153,healthy_loyal,0
CUST0154,healthy_loyal,0
CUST0155,quiet_drifter,1
CUST0156,quiet_drifter,1
CUST0157,healthy_loyal,0
CUST0158,quiet_drifter,0
CUST0159,escalating_churner,1
CUST0160,new_fragile,0
CUST0161,quiet_drifter,1
CUST0162,escalating_churner,1
CUST0163,healthy_loyal,0
CUST0164,escalating_churner,1
CUST0165,quiet_drifter,1
CUST0166,new_fragile,0
CUST0167,healthy_loyal,0
CUST0168,healthy_loyal,0
CUST0169,quiet_drifter,1
CUST0170,billing_wounded,1
CUST0171,loud_but_stable,0
CUST0172,healthy_loyal,0
CUST0173,loud_but_stable,1
CUST0174,new_fragile,0
CUST0175,escalating_churner,0
CUST0176,healthy_loyal,0
CUST0177,billing_wounded,1
CUST0178,new_fragile,0
CUST0179,billing_wounded,1
CUST0180,loud_but_stable,0
CUST0181,healthy_loyal,0
CUST0182,healthy_loyal,0
CUST0183,healthy_loyal,0
CUST0184,healthy_loyal,0
CUST0185,healthy_loyal,0
CUST0186,loud_but_stable,0
CUST0187,billing_wounded,0
CUST0188,healthy_loyal,0
CUST0189,billing_wounded,1
CUST0190,escalating_churner,1
CUST0191,healthy_loyal,0
CUST0192,new_fragile,0
CUST0193,healthy_loyal,0
CUST0194,healthy_loyal,0
CUST0195,healthy_loyal,0
CUST0196,quiet_drifter,0
CUST0197,new_fragile,1
CUST0198,healthy_loyal,0
CUST0199,healthy_loyal,0
CUST0200,escalating_churner,1
